Country,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.UHC.SRVS.CV.XD,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PP.CD,SH.STA.DIAB.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SH.DYN.NCOM.ZS,SH.DYN.NCOM.FE.ZS,SH.DYN.NCOM.MA.ZS,SH.DTH.COMM.ZS,SH.DTH.INJR.ZS,SH.DTH.NCOM.ZS,SH.H2O.BASW.ZS,SH.STA.BASS.ZS,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO.ZS,SP.POP.0014.FE.ZS,SP.POP.0014.MA.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.FE.ZS,SP.POP.1564.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.TOTL
ECU,1.5,2.05,1.2,77.0,8.25742930173874,518.029602050781,958.857666015625,39.3985062837601,204.095932006836,377.775604248047,5.5,79.645,76.8,74.058,88.072,161.14,13.0,12.2,13.9,15.1,12.8,72.2,93.9945365448314,87.9887160353163,1.76344337420836,1.31184512164103,7.69527481091196,6.61992386276766,7.15728972666108,27.4332884198857,28.623181538558,28.0285920021109,64.8714367692023,64.7568945986743,64.814118271228,17084357.0
EGY,1.6,0.7902,1.3989,68.0,5.28763681650162,105.768455505371,613.808776855469,60.0825130939484,63.5483512878418,368.791748046875,17.2,74.162,71.825,69.599,105.456,182.7,27.7,23.8,31.5,10.2,5.8,84.1,99.1057304582077,94.1930218824391,0.988303008774181,0.593765076616204,5.8435972893725,4.6288843606622,5.22977934620923,33.1389106227036,34.4446438630046,33.7987207092348,61.0174920879239,60.9264717763332,60.971499944556,98423595.0
ESP,3.0,4.0691,5.5307,83.0,8.87312963604927,2506.46484375,3468.69213867188,23.5657900571823,590.668273925781,817.424682617188,6.9,86.1,83.3341463414634,80.7,37.537,74.537,9.9,6.4,13.6,5.1,3.5,91.4,99.9262783083572,99.9042308892552,7.65694264517897,4.67746876668828,21.5748985518638,17.1046901913331,19.3785075224995,13.9608928201814,15.3980344529017,14.6670011075355,64.4642086279548,67.4972753557652,65.954491369965,46796540.0
EST,5.0,3.4651,6.4526,75.0,6.42935782670975,1300.48168945313,2153.33959960938,23.6646249890327,307.754089355469,509.579650878906,4.2,83.0,78.5439024390244,74.3,56.077,154.542,17.0,10.3,25.0,2.8,4.5,92.7,99.7128268353268,99.1465538894863,7.95170970911135,3.14651675159787,24.3808194534022,14.293777519795,19.6263568469749,15.0197848902643,17.8568794276203,16.3570737459559,60.5993956563335,67.8493430525847,64.0165694070692,1321977.0
ETH,0.3,0.1,0.84,39.0,3.50255742669106,25.2619533538818,66.6621627807617,34.4089895486832,8.6923828125,22.9377784729004,4.3,68.165,66.24,64.35,184.812,236.779,18.3,18.0,18.7,49.0,11.7,39.3,41.0599521347594,7.31633289543501,0.547960578097338,0.454539763915115,3.76425745879959,3.23818330959287,3.50113299760986,40.2852885809937,41.2803349865757,40.7829819073234,55.9504539602067,55.4814817038314,55.7158850950668,109224559.0
FIN,4.4,3.808,14.723,78.0,9.20693874359131,4205.74267578125,4255.2236328125,20.2274233102798,850.713317871094,860.72216796875,5.6,84.6,81.8341463414634,79.2,44.026,89.21,10.2,7.2,13.3,1.3,5.5,93.2,100.000002210125,99.4478441199711,6.88880106615372,3.92274373431006,24.0503274252909,19.323509785823,21.7207875455222,15.5489438602091,16.758699652543,16.1451829725838,60.4007287145001,63.9177905616339,62.134029481894,5515525.0
FRA,6.5,3.2349,9.6887,78.0,11.3128922879696,4379.72705078125,5011.20068359375,9.38421934843063,411.003204345703,470.262023925781,4.8,85.6,82.5268292682927,79.6,48.187,95.352,10.6,7.2,14.1,6.0,6.4,87.6,100.000001502877,98.6500115526393,7.63916641923836,4.56728527775527,22.1365594286413,17.7960379016483,20.0346247469881,17.0104205052358,18.9640639872369,17.9564644444787,60.8530200661229,63.2398981111148,62.0089108085333,66977107.0
GAB,6.3,0.3611,2.5806,49.0,2.78074592351913,204.492248535156,499.612976074219,25.1563906669617,51.44287109375,125.684600830078,6.0,68.323,66.187,64.152,182.317,238.333,14.4,13.9,14.9,49.9,9.1,41.0,85.7710036556955,47.413276717843,0.681796982206926,0.385315219163665,4.06212526408815,3.08363350676687,3.56390746835592,37.3658403364173,36.6982404648612,37.0258696960045,58.5720343994946,60.2181260283719,59.4102228356395,2119275.0
GBR,2.8,2.8058,8.2878,87.0,9.63169410824776,3858.67431640625,4338.37255859375,15.9568220376968,615.721801757813,692.266357421875,3.9,83.2,81.3560975609756,79.6,55.36,86.107,10.9,9.0,12.9,7.7,3.5,88.8,100.00000147558,99.1102954789708,5.9184161082093,4.13800198857692,19.6896801408744,17.0690620907574,18.3958656741466,17.0514998320606,18.3206828443076,17.6780820689573,63.258820027065,64.610255064935,63.926052256896,66460344.0
GHA,0.9,0.18,1.2,47.0,3.26237045228481,66.7494125366211,146.866897583008,40.2916967868805,26.8944721221924,59.175163269043,2.5,64.852,63.78,62.724,214.333,254.991,20.8,23.2,18.2,47.5,9.8,42.7,81.453389676073,18.4721656151096,0.373264823580508,0.279961164752472,3.36445735109198,2.78121495720532,3.06889800693396,37.3044566959069,37.8799123720891,37.5960615850344,59.3310859530012,59.3388726707055,59.3350404080317,29767108.0
GMB,1.1,0.1077,1.6292,44.0,3.2820712774992,23.2723255157471,55.7659721374512,22.0314085483551,5.12722110748291,12.2860288619995,1.9,63.151,61.735,60.362,224.406,279.951,20.4,18.9,21.9,54.8,10.9,34.3,77.9915668246608,39.2311499837464,0.275318369495699,0.243793091556376,2.62518327728058,2.55412392329139,2.58998093938232,43.5150080707265,45.0347827394138,44.2687450605107,53.8598086519929,52.4110933372949,53.141274000107,2280102.0
GRC,4.3,4.592,3.3728,75.0,8.04139003157616,1516.58776855469,2295.32836914063,34.7502082586288,527.017395019531,797.631408691406,4.7,83.9,81.2878048780488,78.8,42.478,93.96,12.4,7.7,17.3,10.9,2.9,86.2,100.0,98.9831907753857,8.39676589590683,6.13905853892866,23.6517706770307,19.5848291397186,21.6552720778435,13.3966287057443,14.7708770877475,14.0712448654023,62.9516006172251,65.6442937725339,64.2734830567542,10731726.0
GRL,14.3534002304077,1.135,,,,,,,,,2.1,73.0,70.8487804878049,68.8,179.565616396452,261.031696706029,,,,,,,99.9999974672247,99.5972321483041,,,,,,,,,,,,56025.0
GTM,0.6,0.355,0.947,55.0,5.81384375691414,259.935028076172,474.8486328125,54.1341066360474,140.713516235352,257.055053710938,10.0,76.937,74.063,71.119,111.16,201.48,14.9,15.0,14.9,25.1,15.7,59.2,94.1905807380076,65.0631350754195,1.17451954614211,0.935174985011108,5.24449225513624,4.36638315328609,4.81207250828785,33.1872703500063,35.7219441617265,34.4353953933618,61.5682373948574,59.9116726849874,60.7525320983504,17247807.0
GUM,,1.084,,,,,,,,,18.7,83.365,79.859,76.607,39.075,79.819,,,,,,,99.6952,90.3507655120101,2.56194620156739,1.43329789902416,10.9583531390544,8.76461665253276,9.84991071859466,24.052067717284,24.8689129629851,24.4637083152357,64.9895791436616,66.3664703844822,65.6863809661696,165768.0
