0,1,1
1,1,43298
2,2,10
3,2,39
4,3,58
5,3,128
6,3,131
7,3,151
8,4,8
9,4,40
10,5,43
11,5,110
12,6,60
13,6,68
14,8,4
15,8,22
16,9,55
17,9,71
18,10,2
19,10,10
20,11,107
21,11,127
22,12,18
23,12,76
24,13,13
25,13,122
26,14,14
27,14,50
28,14,152
29,14,153
30,15,22
31,15,141
32,17,48
33,17,99
34,18,12
35,18,18
36,18,45
37,19,14
38,19,50
39,19,106
40,19,154
41,20,96
42,20,147
43,21,24
44,21,36
45,22,8
46,22,15
47,23,37
48,23,106
49,23,112
50,24,21
51,24,138
52,25,121
53,25,126
54,26,86
55,26,135
56,27,77
57,27,145
58,28,71
59,28,43298
60,29,115
61,29,116
62,30,77
63,30,92
64,31,32
65,31,38105
66,32,31
67,32,32
68,32,47
69,32,155
70,33,75
71,33,115
72,34,35
73,34,91
74,34,94
75,34,96
76,35,34
77,35,35
78,35,39472
79,36,21
80,36,120
81,37,23
82,37,106
83,38,84
84,38,103
85,38,125
86,39,2
87,39,55
88,40,4
89,40,74
90,41,70
91,41,109
92,41,37953
93,42,111
94,42,156
95,43,5
96,43,146
97,44,102
98,44,155
99,45,18
100,45,117
101,46,121
102,46,134
103,46,43599
104,47,32
105,47,155
106,48,17
107,48,143
108,49,49
109,49,117
110,50,14
111,50,19
112,51,126
113,51,131
114,51,144
115,52,58
116,52,131
117,54,54
118,54,93
119,55,9
120,55,39
121,57,26
122,57,135
123,57,137
124,57,149
125,57,38174
126,58,52
127,58,116
128,59,85
129,59,37169
130,60,6
131,60,60
132,61,97
133,61,112
134,61,140
135,62,118
136,62,156
137,62,159
138,63,63
139,63,105
140,63,106
141,63,107
142,63,134
143,63,38174
144,63,43599
145,64,131
146,64,151
147,66,75
148,66,38174
149,67,67
150,67,101
151,67,39472
152,68,6
153,68,157
154,69,98
155,69,147
156,70,41
157,70,83
158,70,103
159,70,125
160,70,127
161,70,158
162,71,9
163,71,28
164,72,38081
165,72,39635
166,73,74
167,73,130
168,74,40
169,74,73
170,74,74
171,75,33
172,75,66
173,76,12
174,76,88
175,77,27
176,77,30
177,78,128
178,78,144
179,78,38417
180,79,122
181,79,141
182,81,87
183,81,140
184,81,145
185,83,84
186,83,103
187,83,107
188,83,125
189,83,37953
190,84,38
191,84,83
192,84,125
193,85,59
194,85,130
195,85,37169
196,86,26
197,86,86
198,86,113
199,87,81
200,87,106
201,87,136
202,87,140
203,87,145
204,88,76
205,88,143
206,89,95
207,89,150
208,89,38081
209,90,114
210,90,118
211,91,34
212,91,92
213,91,94
214,92,30
215,92,91
216,92,92
217,93,54
218,93,93
219,93,101
220,94,34
221,94,91
222,95,89
223,95,150
224,96,20
225,96,34
226,97,61
227,97,106
228,97,112
229,97,140
230,98,69
231,98,39635
232,99,17
233,99,99
234,99,104
235,99,145
236,100,118
237,100,142
238,101,67
239,101,93
240,102,44
241,102,120
242,103,38
243,103,103
244,103,125
245,103,32906
246,104,99
247,104,145
248,105,23
249,105,81
250,105,105
251,105,106
252,105,107
253,105,38187
254,106,14
255,106,19
256,106,23
257,106,37
258,106,63
259,106,81
260,106,87
261,106,105
262,106,136
263,106,140
264,106,145
265,106,154
266,106,38187
267,107,32
268,107,41
269,107,63
270,107,83
271,107,103
272,107,105
273,107,107
274,107,125
275,107,127
276,107,155
277,107,158
278,107,37169
279,107,37953
280,107,38105
281,107,38187
282,108,129
283,108,157
284,109,41
285,109,37953
286,110,5
287,110,132
288,111,42
289,111,132
290,112,23
291,112,61
292,112,97
293,112,140
294,113,86
295,113,123
296,114,90
297,114,159
298,115,29
299,115,33
300,116,29
301,116,58
302,117,45
303,117,49
304,117,117
305,118,90
306,118,100
307,118,38174
308,119,139
309,119,158
310,120,36
311,120,102
312,121,25
313,121,46
314,121,43599
315,122,13
316,122,79
317,123,113
318,123,123
319,124,124
320,124,125
321,125,103
322,125,32905
323,126,25
324,126,51
325,126,134
326,127,70
327,127,83
328,127,125
329,127,127
330,127,158
331,128,3
332,128,38174
333,128,38417
334,129,108
335,129,129
336,129,138
337,130,73
338,130,85
339,131,51
340,131,52
341,131,64
342,131,126
343,131,128
344,131,151
345,131,38174
346,131,38417
347,132,62
348,132,110
349,132,111
350,134,25
351,134,121
352,134,38174
353,134,43599
354,135,26
355,135,57
356,136,87
357,136,104
358,136,145
359,137,144
360,137,149
361,138,24
362,138,129
363,139,107
364,139,119
365,139,139
366,139,158
367,139,37169
368,140,23
369,140,61
370,140,81
371,140,97
372,140,106
373,140,112
374,140,145
375,141,15
376,141,79
377,142,100
378,142,142
379,143,48
380,143,88
381,144,78
382,144,131
